doc_id,filename,status,subject_area,subject_source,page_count,lines_stripped,units_detected,chunks_emitted,toc_chunks_dropped,errors,warnings,processed_at
DOC-011-intellectual-property-act-no-36-of-2003,Intellectual_Property_Act_No_36_of_2003.pdf,OK_WARN,intellectual_property,manifest,81,0,78,81,0,,DOC-011-intellectual-property-act-no-36-of-2003-C0002 below min_chunk_chars (102) | DOC-011-intellectual-property-act-no-36-of-2003-C0015 below min_chunk_chars (101) | DOC-011-intellectual-property-act-no-36-of-2003-C0043 below min_chunk_chars (104),2026-08-13T07:08:49+00:00
DOC-012-judicature-act,Judicature-Act.pdf,OK_WARN,civil_procedure,manifest,81,83,42,63,0,,DOC-012-judicature-act-C0029 below min_chunk_chars (88) | DOC-012-judicature-act-C0032 below min_chunk_chars (87) | DOC-012-judicature-act-C0038 below min_chunk_chars (87) | DOC-012-judicature-act-C0040 below min_chunk_chars (86) | DOC-012-judicature-act-C0054 below min_chunk_chars (109),2026-08-13T07:09:02+00:00
DOC-013-maintenance-act-no-37-of-1999,"MAINTENANCE__ACT,_No._37_OF_1999.pdf",OK_WARN,family_law,manifest,17,1,17,17,1,,DOC-013-maintenance-act-no-37-of-1999-C0003 below min_chunk_chars (102) | DOC-013-maintenance-act-no-37-of-1999-C0008 below min_chunk_chars (29) | 1 table-of-contents chunk(s) dropped,2026-08-13T07:09:17+00:00
DOC-014-marriages-general-consolidated-2024,Marriages-General-Consolidated-2024.pdf,OK_WARN,family_law,manifest,38,3,1,19,3,,3 table-of-contents chunk(s) dropped,2026-08-13T07:09:20+00:00
DOC-015-mediation-boards-act-no-21,Mediation Boards Act no 21.pdf,OK_WARN,civil_procedure,manifest,15,0,25,26,0,,DOC-015-mediation-boards-act-no-21-C0002 below min_chunk_chars (108),2026-08-13T07:09:32+00:00
DOC-016-mediation-boards-act-no-27,Mediation Boards Act no 27.pdf,FAIL,civil_procedure,manifest,13,0,0,0,,No extractable text,,2026-08-13T07:09:35+00:00
DOC-017-penal-code,Penal_Code.pdf,OK_WARN,criminal_law,manifest,81,115,166,168,0,,DOC-017-penal-code-C0001 below min_chunk_chars (19) | DOC-017-penal-code-C0003 below min_chunk_chars (119) | DOC-017-penal-code-C0009 below min_chunk_chars (118) | DOC-017-penal-code-C0024 below min_chunk_chars (92) | DOC-017-penal-code-C0028 below min_chunk_chars (112) | DOC-017-penal-code-C0029 below min_chunk_chars (114) | DOC-017-penal-code-C0031 below min_chunk_chars (116) | DOC-017-penal-code-C0122 below min_chunk_chars (47),2026-08-13T07:09:35+00:00
DOC-018-personal-data-protection-act,Personal Data protection Act.pdf,OK,administrative_public,manifest,65,0,56,60,0,,,2026-08-13T07:09:58+00:00
DOC-019-primary-courts-procedure,PRIMARY COURTS' PROCEDURE.html,OK_WARN,criminal_procedure,manifest,1,1,51,52,0,,DOC-019-primary-courts-procedure-C0017 below min_chunk_chars (87) | DOC-019-primary-courts-procedure-C0033 below min_chunk_chars (104) | DOC-019-primary-courts-procedure-C0051 below min_chunk_chars (108),2026-08-13T07:10:08+00:00
DOC-020-registration-of-documents-consolidated-2,Registration-of-Documents-Consolidated-2024.pdf,OK_WARN,property_land,manifest,22,0,6,15,1,,1 table-of-contents chunk(s) dropped,2026-08-13T07:10:08+00:00
DOC-021-sale-of-goods,SALE OF GOODS.html,OK,contract_law,manifest,1,1,19,24,0,,,2026-08-13T07:10:16+00:00
